dateRep,cases,deaths,countriesAndTerritories,popData2019
19/10/2020,59,4,Afghanistan,38041757
18/10/2020,68,3,Afghanistan,38041757
17/10/2020,47,4,Afghanistan,38041757
16/10/2020,0,0,Afghanistan,38041757
15/10/2020,32,1,Afghanistan,38041757
14/10/2020,66,0,Afghanistan,38041757
13/10/2020,129,3,Afghanistan,38041757
12/10/2020,96,4,Afghanistan,38041757
11/10/2020,0,0,Afghanistan,38041757
10/10/2020,10,1,Afghanistan,38041757
09/10/2020,77,2,Afghanistan,38041757
08/10/2020,68,1,Afghanistan,38041757
07/10/2020,62,2,Afghanistan,38041757
06/10/2020,145,5,Afghanistan,38041757
05/10/2020,44,0,Afghanistan,38041757
04/10/2020,7,4,Afghanistan,38041757
03/10/2020,5,0,Afghanistan,38041757
02/10/2020,17,0,Afghanistan,38041757
01/10/2020,14,0,Afghanistan,38041757
30/09/2020,15,2,Afghanistan,38041757
29/09/2020,12,3,Afghanistan,38041757
28/09/2020,0,0,Afghanistan,38041757
27/09/2020,35,0,Afghanistan,38041757
26/09/2020,6,2,Afghanistan,38041757
25/09/2020,16,0,Afghanistan,38041757
24/09/2020,25,5,Afghanistan,38041757
23/09/2020,71,2,Afghanistan,38041757
22/09/2020,30,3,Afghanistan,38041757
21/09/2020,0,0,Afghanistan,38041757
20/09/2020,125,4,Afghanistan,38041757
19/09/2020,47,1,Afghanistan,38041757
18/09/2020,0,0,Afghanistan,38041757
17/09/2020,17,0,Afghanistan,38041757
16/09/2020,40,10,Afghanistan,38041757
15/09/2020,99,6,Afghanistan,38041757
14/09/2020,75,0,Afghanistan,38041757
13/09/2020,35,0,Afghanistan,38041757
12/09/2020,34,0,Afghanistan,38041757
11/09/2020,28,0,Afghanistan,38041757
10/09/2020,24,2,Afghanistan,38041757
09/09/2020,26,3,Afghanistan,38041757
08/09/2020,96,3,Afghanistan,38041757
07/09/2020,74,2,Afghanistan,38041757
06/09/2020,20,0,Afghanistan,38041757
05/09/2020,16,0,Afghanistan,38041757
04/09/2020,45,1,Afghanistan,38041757
03/09/2020,38,3,Afghanistan,38041757
02/09/2020,9,0,Afghanistan,38041757
01/09/2020,34,4,Afghanistan,38041757
31/08/2020,19,0,Afghanistan,38041757
30/08/2020,3,0,Afghanistan,38041757
29/08/2020,11,1,Afghanistan,38041757
28/08/2020,3,0,Afghanistan,38041757
27/08/2020,55,4,Afghanistan,38041757
26/08/2020,1,0,Afghanistan,38041757
25/08/2020,71,10,Afghanistan,38041757
24/08/2020,0,0,Afghanistan,38041757
23/08/2020,105,2,Afghanistan,38041757
22/08/2020,38,0,Afghanistan,38041757
21/08/2020,97,2,Afghanistan,38041757
20/08/2020,160,8,Afghanistan,38041757
19/08/2020,0,0,Afghanistan,38041757
18/08/2020,3,0,Afghanistan,38041757
17/08/2020,45,5,Afghanistan,38041757
16/08/2020,120,7,Afghanistan,38041757
15/08/2020,7,0,Afghanistan,38041757
14/08/2020,79,9,Afghanistan,38041757
13/08/2020,76,10,Afghanistan,38041757
12/08/2020,215,32,Afghanistan,38041757
11/08/2020,0,0,Afghanistan,38041757
10/08/2020,0,0,Afghanistan,38041757
09/08/2020,39,5,Afghanistan,38041757
08/08/2020,78,9,Afghanistan,38041757
07/08/2020,41,0,Afghanistan,38041757
06/08/2020,67,4,Afghanistan,38041757
05/08/2020,82,6,Afghanistan,38041757
04/08/2020,37,4,Afghanistan,38041757
03/08/2020,0,1,Afghanistan,38041757
02/08/2020,0,0,Afghanistan,38041757
01/08/2020,168,12,Afghanistan,38041757
31/07/2020,71,0,Afghanistan,38041757
30/07/2020,0,0,Afghanistan,38041757
29/07/2020,103,1,Afghanistan,38041757
28/07/2020,105,1,Afghanistan,38041757
27/07/2020,106,10,Afghanistan,38041757
26/07/2020,121,13,Afghanistan,38041757
25/07/2020,108,35,Afghanistan,38041757
24/07/2020,13,0,Afghanistan,38041757
23/07/2020,188,21,Afghanistan,38041757
22/07/2020,112,4,Afghanistan,38041757
21/07/2020,140,5,Afghanistan,38041757
20/07/2020,174,17,Afghanistan,38041757
19/07/2020,12,17,Afghanistan,38041757
18/07/2020,219,32,Afghanistan,38041757
17/07/2020,76,21,Afghanistan,38041757
16/07/2020,254,49,Afghanistan,38041757
15/07/2020,285,33,Afghanistan,38041757
14/07/2020,4,2,Afghanistan,38041757
13/07/2020,0,0,Afghanistan,38041757
12/07/2020,85,16,Afghanistan,38041757
11/07/2020,458,37,Afghanistan,38041757
10/07/2020,255,20,Afghanistan,38041757
09/07/2020,59,1,Afghanistan,38041757
08/07/2020,210,16,Afghanistan,38041757
07/07/2020,433,56,Afghanistan,38041757
06/07/2020,279,38,Afghanistan,38041757
05/07/2020,348,7,Afghanistan,38041757
04/07/2020,302,12,Afghanistan,38041757
03/07/2020,186,33,Afghanistan,38041757
02/07/2020,319,28,Afghanistan,38041757
01/07/2020,279,13,Afghanistan,38041757
30/06/2020,271,12,Afghanistan,38041757
29/06/2020,351,18,Afghanistan,38041757
28/06/2020,165,20,Afghanistan,38041757
27/06/2020,276,8,Afghanistan,38041757
26/06/2020,460,36,Afghanistan,38041757
25/06/2020,234,21,Afghanistan,38041757
24/06/2020,338,20,Afghanistan,38041757
23/06/2020,310,17,Afghanistan,38041757
22/06/2020,409,12,Afghanistan,38041757
21/06/2020,546,21,Afghanistan,38041757
20/06/2020,346,2,Afghanistan,38041757
19/06/2020,658,42,Afghanistan,38041757
18/06/2020,564,13,Afghanistan,38041757
17/06/2020,783,13,Afghanistan,38041757
16/06/2020,761,7,Afghanistan,38041757
15/06/2020,664,20,Afghanistan,38041757
14/06/2020,556,5,Afghanistan,38041757
13/06/2020,656,20,Afghanistan,38041757
12/06/2020,747,21,Afghanistan,38041757
11/06/2020,684,21,Afghanistan,38041757
10/06/2020,542,15,Afghanistan,38041757
09/06/2020,575,12,Afghanistan,38041757
08/06/2020,791,30,Afghanistan,38041757
07/06/2020,582,18,Afghanistan,38041757
06/06/2020,915,9,Afghanistan,38041757
05/06/2020,787,6,Afghanistan,38041757
04/06/2020,758,24,Afghanistan,38041757
03/06/2020,759,5,Afghanistan,38041757
02/06/2020,545,8,Afghanistan,38041757
01/06/2020,680,8,Afghanistan,38041757
31/05/2020,866,3,Afghanistan,38041757
30/05/2020,623,11,Afghanistan,38041757
29/05/2020,580,8,Afghanistan,38041757
28/05/2020,625,7,Afghanistan,38041757
27/05/2020,658,1,Afghanistan,38041757
26/05/2020,591,1,Afghanistan,38041757
25/05/2020,584,2,Afghanistan,38041757
24/05/2020,782,11,Afghanistan,38041757
23/05/2020,540,12,Afghanistan,38041757
22/05/2020,531,6,Afghanistan,38041757
21/05/2020,492,9,Afghanistan,38041757
20/05/2020,581,5,Afghanistan,38041757
19/05/2020,408,4,Afghanistan,38041757
18/05/2020,262,1,Afghanistan,38041757
17/05/2020,0,0,Afghanistan,38041757
16/05/2020,1063,32,Afghanistan,38041757
15/05/2020,113,6,Afghanistan,38041757
14/05/2020,259,3,Afghanistan,38041757
13/05/2020,280,5,Afghanistan,38041757
12/05/2020,285,2,Afghanistan,38041757
11/05/2020,369,5,Afghanistan,38041757
10/05/2020,255,6,Afghanistan,38041757
09/05/2020,215,3,Afghanistan,38041757
